sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
0.000000000000000000e+00,0.000000000000000000e+00,1.961175918579101562e+00,-4.500000000000000000e+01,2.050000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.961175918579101562e+00,0.000000000000000000e+00,1.838000000000000114e+02
0.000000000000000000e+00,2.000000000000000000e+00,1.961175918579101562e+00,4.500000000000000000e+01,2.111999999999999886e+02
1.000000000000000000e+00,0.000000000000000000e+00,3.923803806304931641e+00,-4.500000000000000000e+01,2.045999999999999943e+02
1.000000000000000000e+00,1.000000000000000000e+00,3.923803806304931641e+00,0.000000000000000000e+00,1.845999999999999943e+02
1.000000000000000000e+00,2.000000000000000000e+00,3.923803806304931641e+00,4.500000000000000000e+01,2.120000000000000000e+02
2.000000000000000000e+00,0.000000000000000000e+00,5.884819984436035156e+00,-4.500000000000000000e+01,2.038000000000000114e+02
2.000000000000000000e+00,1.000000000000000000e+00,5.884819984436035156e+00,0.000000000000000000e+00,1.840000000000000000e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.884819984436035156e+00,4.500000000000000000e+01,2.125999999999999943e+02
3.000000000000000000e+00,0.000000000000000000e+00,7.846890926361083984e+00,-4.500000000000000000e+01,2.048000000000000114e+02
3.000000000000000000e+00,1.000000000000000000e+00,7.846890926361083984e+00,0.000000000000000000e+00,1.835999999999999943e+02
3.000000000000000000e+00,2.000000000000000000e+00,7.846890926361083984e+00,4.500000000000000000e+01,2.128000000000000114e+02
4.000000000000000000e+00,0.000000000000000000e+00,9.809212923049926758e+00,-4.500000000000000000e+01,2.051999999999999886e+02
4.000000000000000000e+00,1.000000000000000000e+00,9.809212923049926758e+00,0.000000000000000000e+00,1.841999999999999886e+02
4.000000000000000000e+00,2.000000000000000000e+00,9.809212923049926758e+00,4.500000000000000000e+01,2.110000000000000000e+02
5.000000000000000000e+00,0.000000000000000000e+00,1.177129840850830078e+01,-4.500000000000000000e+01,2.048300000000000125e+02
5.000000000000000000e+00,1.000000000000000000e+00,1.177129840850830078e+01,0.000000000000000000e+00,1.835999999999999943e+02
5.000000000000000000e+00,2.000000000000000000e+00,1.177129840850830078e+01,4.500000000000000000e+01,2.115999999999999943e+02
