"Date and Time Run #2","Time (s) Run #2","Black Bottle","Brushed Aluminum Bottle","White Bottle"
04/16/2026 03:42:09 pm,0.000,22.6,22.4,22.1
04/16/2026 03:42:09 pm,0.500,22.6,22.4,
04/16/2026 03:42:10 pm,1.000,22.7,22.4,22.0
04/16/2026 03:42:10 pm,1.500,22.6,22.4,
04/16/2026 03:42:11 pm,2.000,22.7,22.4,22.0
04/16/2026 03:42:11 pm,2.500,22.7,22.4,
04/16/2026 03:42:12 pm,3.000,22.7,22.4,22.0
04/16/2026 03:42:12 pm,3.500,22.7,22.4,
04/16/2026 03:42:13 pm,4.000,22.7,22.4,22.0
04/16/2026 03:42:13 pm,4.500,22.7,22.4,
04/16/2026 03:42:14 pm,5.000,22.7,22.4,22.0
04/16/2026 03:42:14 pm,5.500,22.7,22.4,
04/16/2026 03:42:15 pm,6.000,22.7,22.4,22.1
04/16/2026 03:42:15 pm,6.500,22.7,22.4,
04/16/2026 03:42:16 pm,7.000,22.7,22.4,22.1
04/16/2026 03:42:16 pm,7.500,22.7,22.4,
04/16/2026 03:42:17 pm,8.000,22.7,22.4,22.0
04/16/2026 03:42:17 pm,8.500,22.7,22.4,
04/16/2026 03:42:18 pm,9.000,22.7,22.4,22.1
04/16/2026 03:42:18 pm,9.500,22.7,22.4,
04/16/2026 03:42:19 pm,10.000,22.7,22.4,22.0
04/16/2026 03:42:19 pm,10.500,22.7,22.4,
04/16/2026 03:42:20 pm,11.000,22.7,22.4,22.0
04/16/2026 03:42:20 pm,11.500,22.7,22.4,
04/16/2026 03:42:21 pm,12.000,22.7,22.4,22.0
04/16/2026 03:42:21 pm,12.500,22.7,22.4,
04/16/2026 03:42:22 pm,13.000,22.7,22.4,22.0
04/16/2026 03:42:22 pm,13.500,22.7,22.4,
04/16/2026 03:42:23 pm,14.000,22.7,22.4,22.0
04/16/2026 03:42:23 pm,14.500,22.7,22.4,
04/16/2026 03:42:24 pm,15.000,22.7,22.4,22.0
04/16/2026 03:42:24 pm,15.500,22.7,22.4,
04/16/2026 03:42:25 pm,16.000,22.7,22.4,22.0
04/16/2026 03:42:25 pm,16.500,22.7,22.4,
04/16/2026 03:42:26 pm,17.000,22.7,22.4,22.1
04/16/2026 03:42:26 pm,17.500,22.7,22.4,
04/16/2026 03:42:27 pm,18.000,22.7,22.4,22.1
04/16/2026 03:42:27 pm,18.500,22.7,22.4,
04/16/2026 03:42:28 pm,19.000,22.7,22.4,22.1
