D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)    Static Pressure Probe (PSIG)
0.000	-0.088	-0.059	114.576	0.017
0.031	-0.252	-0.047	115.802	-0.030
0.065	-0.218	-0.055	115.165	0.004
0.099	-0.201	0.013	113.645	0.000
0.129	-0.117	-0.017	113.951	-0.008
0.159	-0.109	-0.064	114.123	0.034
0.188	-0.222	-0.089	115.826	0.013
0.218	-0.088	-0.076	114.527	0.042
0.248	-0.138	-0.102	115.802	0.004
0.277	-0.109	-0.076	114.196	0.038
0.308	-0.206	0.025	113.927	-0.008
0.338	-0.185	-0.025	115.201	-0.042
0.367	-0.218	-0.051	115.287	-0.004
0.397	-0.151	-0.004	113.449	0.017
0.427	-0.231	-0.004	114.821	-0.038
0.456	-0.218	-0.008	114.723	-0.025
0.486	-0.075	-0.059	114.588	0.021
0.516	-0.134	0.009	113.596	0.004
0.546	-0.214	-0.047	115.054	0.004
0.576	-0.143	-0.106	115.937	0.000
0.606	-0.122	-0.110	115.851	0.009
0.635	-0.189	0.004	114.209	-0.017
0.665	-0.231	-0.008	114.699	-0.021
0.695	-0.180	-0.085	115.385	0.030
0.725	-0.155	0.017	113.449	0.009
0.755	-0.126	-0.038	114.221	-0.004
0.784	-0.206	-0.034	115.017	0.021
0.814	-0.138	-0.030	113.804	0.025
0.844	-0.268	-0.013	115.324	-0.034
0.874	-0.101	-0.038	114.111	-0.004
0.903	-0.159	-0.085	115.066	0.034
0.933	-0.113	-0.030	113.424	0.059
0.962	-0.096	-0.085	114.503	0.034
0.992	-0.235	-0.021	115.312	-0.025
1.022	-0.105	-0.038	113.559	0.038
1.051	-0.268	-0.004	114.883	-0.004
1.081	-0.206	-0.021	115.030	-0.025
1.110	-0.193	0.025	113.682	0.004
1.140	-0.172	-0.098	115.410	0.021
1.170	-0.201	-0.004	114.650	-0.021
1.200	-0.109	-0.047	113.914	0.059
1.230	-0.075	-0.098	114.821	0.013
1.262	-0.117	-0.072	114.429	0.034
1.294	-0.113	-0.064	114.135	0.034
1.324	-0.222	-0.038	115.630	-0.038
1.354	-0.101	-0.042	113.951	0.038
1.383	-0.113	-0.102	115.275	0.013
1.412	-0.117	-0.038	114.086	0.025
1.442	-0.143	-0.017	113.914	-0.013
1.472	-0.143	-0.085	115.299	0.009
1.502	-0.193	-0.081	115.839	-0.008
1.535	-0.222	-0.051	115.949	-0.038
1.568	-0.172	0.034	113.069	0.017
1.598	-0.206	-0.055	114.834	0.034
1.628	-0.193	-0.013	114.245	-0.034
1.658	-0.247	-0.021	115.361	-0.017
1.688	-0.130	-0.102	115.336	0.025
1.719	-0.185	-0.089	116.108	-0.021
1.752	-0.159	-0.076	115.066	0.042
1.785	-0.176	0.017	113.559	-0.004
1.815	-0.122	-0.025	113.449	0.021
1.845	-0.151	-0.021	114.270	-0.017
1.874	-0.206	0.013	114.196	-0.042
1.904	-0.084	-0.030	113.878	0.038
1.934	-0.189	0.013	113.216	0.013
1.963	-0.243	-0.030	114.981	-0.004
1.992	-0.214	-0.042	115.422	-0.042
2.022	-0.109	-0.059	113.939	0.042
2.052	-0.134	-0.081	115.189	0.038
2.080	-0.134	-0.030	113.559	0.055
2.112	-0.101	-0.038	114.025	0.004
2.146	-0.138	-0.081	114.846	0.042
2.180	-0.138	-0.030	113.645	0.042
2.221	-0.138	-0.013	114.209	-0.030
2.255	-0.130	-0.013	113.571	0.034
2.288	-0.134	-0.025	113.620	0.047
2.325	-0.172	-0.008	113.878	-0.004
2.359	-0.218	-0.017	115.054	-0.034
2.393	-0.080	-0.076	114.282	0.051
2.427	-0.130	-0.072	115.128	0.030
2.460	-0.206	0.000	114.258	-0.025
2.492	-0.117	-0.021	114.307	-0.008
2.523	-0.168	-0.008	114.466	-0.021
2.554	-0.210	0.034	113.326	0.013
2.584	-0.218	-0.004	114.356	-0.013
2.615	-0.206	-0.008	114.821	-0.030
2.645	-0.122	-0.008	113.326	0.009
