D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)
0.000	-0.138	-0.068	90.715	0.030
0.031	-0.109	-0.030	89.869	0.009
0.063	-0.155	-0.064	91.033	0.034
0.094	-0.113	-0.030	90.323	0.021
0.125	-0.210	0.013	89.906	-0.017
0.156	-0.256	-0.021	91.659	-0.059
0.187	-0.096	-0.076	90.984	0.009
0.218	-0.147	-0.021	89.698	0.025
0.249	-0.176	-0.064	91.254	0.034
0.280	-0.096	-0.038	89.857	0.034
0.311	-0.231	0.013	90.654	0.004
0.342	-0.197	-0.025	91.524	-0.042
0.372	-0.122	-0.013	89.318	0.042
0.403	-0.096	-0.047	89.881	0.055
0.434	-0.105	0.004	89.759	-0.008
0.465	-0.168	-0.059	91.315	0.004
0.496	-0.180	-0.055	91.659	-0.013
0.527	-0.180	-0.064	91.732	-0.021
0.558	-0.164	-0.004	90.433	-0.034
0.589	-0.071	-0.047	90.200	0.013
0.620	-0.298	-0.004	91.377	-0.025
0.651	-0.126	-0.064	90.727	0.025
0.682	-0.096	-0.021	89.881	0.000
0.713	-0.206	0.004	90.678	-0.030
0.744	-0.168	-0.008	90.678	-0.038
0.775	-0.147	-0.021	90.004	0.004
0.806	-0.172	-0.051	90.935	0.025
0.837	-0.247	0.013	90.470	-0.030
0.868	-0.126	-0.051	90.127	0.004
0.899	-0.126	-0.025	89.906	0.030
0.929	-0.256	-0.055	91.585	0.021
0.960	-0.084	-0.072	90.482	0.034
0.991	-0.113	-0.047	90.065	0.038
1.022	-0.147	0.004	89.563	0.004
1.053	-0.134	-0.038	90.323	0.004
1.084	-0.201	-0.051	91.695	-0.025
1.115	-0.206	-0.051	91.401	-0.004
1.146	-0.155	-0.008	90.531	-0.021
1.183	-0.134	-0.076	91.242	0.017
1.213	-0.113	-0.030	90.139	0.021
1.244	-0.151	-0.013	90.445	-0.047
1.275	-0.138	-0.047	90.470	0.030
1.306	-0.197	0.004	90.923	-0.047
