X-Data [Hz],Reference,Article 1 3749 (M - Filtered) [g],Phase [Deg],Article 2 8361 (M - Filtered) [g],Phase [Deg],Article 3 8482 (M - Filtered) [g],Phase [Deg],Control [g]
,,002: [05-24-17 14:40],,002: [05-24-17 14:40],,002: [05-24-17 14:40],,002: [05-24-17 14:40]
5,0.55,0.551723,73.1,0.576066,76.4,0.614572,77,0.529252
5.00877,0.55,0.553933,73.1,0.577712,76.4,0.617281,77,0.530071
5.01755,0.55,0.556143,73.1,0.579358,76.4,0.619991,77,0.530891
5.02634,0.55,0.561,-47.1,0.589587,-43.3,0.626774,-43.5,0.538174
5.03515,0.55,0.567193,-169.3,0.598393,-165.3,0.636336,-165.6,0.547138
5.04398,0.55,0.570739,-169.3,0.598616,-165.3,0.641824,-165.6,0.549639
5.05282,0.55,0.576013,67.2,0.601727,71.4,0.646613,72.1,0.553197
5.06168,0.55,0.577741,67.2,0.604616,71.4,0.645914,72.1,0.554255
5.07055,0.55,0.579402,-57.4,0.606726,-53.2,0.644701,-53.5,0.555154
5.07944,0.55,0.579335,-57.4,0.605947,-53.2,0.644187,-53.5,0.554995
5.08835,0.55,0.58008,176.6,0.607414,-179.3,0.647507,-179.2,0.554312
5.09727,0.55,0.579872,48.8,0.609008,53.1,0.650337,53,0.554967
5.1062,0.55,0.578853,48.8,0.608356,53.1,0.649334,53,0.556147
5.11515,0.55,0.579837,-80,0.608493,-76.4,0.64945,-76,0.555764
5.12412,0.55,0.581842,-80,0.609282,-76.4,0.65057,-76,0.554201
5.1331,0.55,0.584564,149.2,0.609969,153.2,0.650804,153.1,0.55417
5.1421,0.55,0.585283,149.2,0.609867,153.2,0.649918,153.1,0.555701
5.15111,0.55,0.58484,17,0.612082,20.8,0.652418,21,0.557368
5.16014,0.55,0.583003,-117,0.612651,-112.4,0.654117,-112.5,0.556563
5.16919,0.55,0.582326,-117,0.610904,-112.4,0.65243,-112.5,0.555624
5.17825,0.55,0.58304,107.9,0.609754,111.9,0.652572,112.2,0.555886
5.18733,0.55,0.584432,107.9,0.610353,111.9,0.654401,112.2,0.557088
5.19642,0.55,0.585903,-28.1,0.612026,-24.5,0.655014,-24.5,0.557314
5.20553,0.55,0.585981,-28.1,0.613101,-24.5,0.653798,-24.5,0.556337
5.21466,0.55,0.58504,-167.1,0.611685,-162.9,0.65488,-163,0.554887
5.2238,0.55,0.584322,53.1,0.611094,57.2,0.656607,57.5,0.555572
5.23296,0.55,0.584623,53.1,0.612994,57.2,0.656036,57.5,0.556731
5.24213,0.55,0.584388,-88,0.614154,-83.9,0.65641,-84,0.557571
5.25132,0.55,0.583851,-88,0.613414,-83.9,0.657354,-84,0.557254
5.26052,0.55,0.583563,129.4,0.613264,133.2,0.657759,133.3,0.557236
5.26975,0.55,0.583812,129.4,0.613854,133.2,0.657219,133.3,0.557536
5.27898,0.55,0.58597,-15.2,0.613392,-11.3,0.657405,-11.3,0.557364
5.28824,0.55,0.586766,-160.8,0.612453,-157.1,0.657884,-157,0.556113
5.29751,0.55,0.585652,-160.8,0.612566,-157.1,0.657637,-157,0.555333
5.3068,0.55,0.584349,51.6,0.612931,55.2,0.657701,55.3,0.554727
5.3161,0.55,0.584159,51.6,0.613182,55.2,0.658012,55.3,0.554901
5.32542,0.55,0.582835,-97.7,0.613736,-93.6,0.658495,-93.8,0.556034
5.33475,0.55,0.581701,-97.7,0.614038,-93.6,0.658667,-93.8,0.556995
5.3441,0.55,0.583692,111.5,0.613994,115.1,0.6605,115.5,0.557086
5.35347,0.55,0.586467,-40.4,0.614716,-36.5,0.661025,-36.5,0.555272
5.36286,0.55,0.586115,-40.4,0.615784,-36.5,0.65989,-36.5,0.554327
5.37226,0.55,0.587925,165.6,0.616048,169.6,0.659907,169.5,0.554434
5.38168,0.55,0.590088,165.6,0.615243,169.6,0.66106,169.5,0.555487
5.39111,0.55,0.59094,10.5,0.614997,14.2,0.662341,14.3,0.556761
5.40056,0.55,0.58963,10.5,0.615556,14.2,0.66247,14.3,0.556982
5.41003,0.55,0.586335,-150.5,0.615506,-146.6,0.661589,-146.6,0.555942
5.41951,0.55,0.586916,54.7,0.615208,58.9,0.661685,58.7,0.555395
5.42901,0.55,0.589481,54.7,0.615519,58.9,0.66279,58.7,0.55611
5.43853,0.55,0.590396,-105.1,0.616105,-101.7,0.663828,-101.2,0.556461
5.44806,0.55,0.588746,-105.1,0.616381,-101.7,0.663761,-101.2,0.556098
5.45761,0.55,0.587434,93.2,0.616732,96.9,0.663849,96.8,0.556455
5.46718,0.55,0.587772,93.2,0.616807,96.9,0.664004,96.8,0.557177
5.47677,0.55,0.585092,-71,0.616884,-66.6,0.664424,-66.5,0.555015
5.48637,0.55,0.583569,125.2,0.616078,128.2,0.665183,128.6,0.552328
5.49598,0.55,0.585063,125.2,0.615271,128.2,0.665676,128.6,0.552526
5.50562,0.55,0.587104,-40.7,0.616656,-38,0.66653,-38,0.554289
5.51527,0.55,0.587651,-40.7,0.618848,-38,0.666891,-38,0.555854
5.52494,0.55,0.591819,150.1,0.620247,153.6,0.668759,153.8,0.557837
5.53462,0.55,0.59544,150.1,0.619453,153.6,0.670267,153.8,0.558255
5.54433,0.55,0.588153,-23.6,0.619266,-20,0.669609,-19.9,0.557238
5.55404,0.55,0.581668,169.5,0.620227,172.4,0.668514,172.6,0.55677
5.56378,0.55,0.58609,169.5,0.620582,172.4,0.669585,172.6,0.557736
5.57353,0.55,0.594687,-4.3,0.61966,-0.6,0.670454,-0.6,0.557301
5.5833,0.55,0.598862,-4.3,0.618382,-0.6,0.670252,-0.6,0.5559
